Geography,Neighborhood,Latitude,Longitude
Vancouver,Kitsilano,49.2643,-123.168
Vancouver,Mount Pleasant,49.2612,-123.106
Vancouver,West End,49.2843,-123.1235
Vancouver,East Vancouver,49.2488,-123.0654
Vancouver,Guildford,49.197,-122.8038
Vancouver,Whalley,49.1913,-122.8461
Vancouver,Fleetwood,49.1706,-122.7682
Vancouver,Cloverdale,49.1032,-122.7322
Vancouver,South Surrey,49.0434,-122.8026
Vancouver,Metrotown,49.2258,-123.0032
Vancouver,Brentwood,49.2765,-123.0076
Vancouver,Deer Lake,49.2343,-122.9736
Vancouver,Burnaby Heights,49.2816,-123.0138
Vancouver,Edmonds,49.2192,-122.9331
Vancouver,Steveston,49.1242,-123.1663
Vancouver,Broadmoor,49.1414,-123.1338
Vancouver,Bridgeport,49.195,-123.1014
Vancouver,Cambie,49.1823,-123.1162
Vancouver,Seafair,49.1514,-123.1788
Vancouver,Westwood Plateau,49.3054,-122.7939
Vancouver,Burke Mountain,49.2935,-122.7229
Vancouver,Coquitlam Centre,49.2848,-122.8051
Vancouver,Maillardville,49.238,-122.8565
Vancouver,Ladner,49.0909,-123.0867
Vancouver,North Delta,49.1433,-122.8858
Vancouver,Tsawwassen,49.012,-123.0824
Vancouver,Uptown,49.2065,-122.929
Vancouver,Downtown,49.2032,-122.911
Vancouver,Queensborough,49.1869,-122.9245
Vancouver,Glenbrook North,49.214,-122.925
Vancouver,Mary Hill,49.2634,-122.7543
Vancouver,Glenwood,49.2497,-122.7798
Vancouver,Riverwood,49.2653,-122.7683
Vancouver,Central Port Coquitlam,49.2605,-122.7794
Vancouver,Upper Lonsdale,49.3389,-123.0786
Vancouver,Lower Lonsdale,49.3238,-123.0734
Vancouver,Lynn Valley,49.3374,-123.0341
Vancouver,Central Lonsdale,49.321,-123.0754
Vancouver,Ambleside,49.3281,-123.1512
Vancouver,Dundarave,49.3333,-123.1722
Vancouver,Horseshoe Bay,49.374,-123.2714
Vancouver,British Properties,49.3425,-123.1479
Vancouver,Caulfeild,49.3471,-123.2489
